sample_id,ddim_reconstruction,sdvae_roundtrip,sd15_latent_denoise,emu3_vq_reconstruction,dinov2_isolation,convae_reconstruction,ce_resnet18,margin_resnet18,gradnorm_resnet18,forgetting_count,first_learning_epoch
0,0.175361499,0.627616644,0.102639437,0.00440046005,0.471323341,0.00242583524,0.0859122574,-6.18826675,0.000333830452,8,38
1,0.0924285501,0.318469584,0.0682543293,0.00148467673,0.257593155,0.00102315191,0.116071418,-6.14665794,0.000187249316,0,4
2,0.121180974,0.467387915,0.0747415274,0.00180572085,0.301740259,0.000539827568,0.0785955638,-6.00042391,0.000172939166,7,35
3,0.150914431,0.264234155,0.0671373308,0.00305818394,0.37192747,0.00161877275,0.0682678148,-6.33557796,8.04975134e-05,7,51
4,0.164285228,0.838016629,0.117983967,0.00289994199,0.304891109,0.00136942719,0.0961818919,-6.33876896,0.000270289427,5,32
5,0.195025355,0.607486248,0.156039923,0.00573774753,0.228522107,0.00418537296,0.128021434,-5.99626112,0.000236314081,3,49
6,0.191566169,0.696151018,0.123778403,0.00332670379,0.356092244,0.0018930838,0.0786805227,-6.4772954,0.000133237467,7,38
7,0.0629919767,0.575563788,0.0640230775,0.000556165876,0.266430259,0.000251017162,0.143707529,-4.80272388,0.000890779251,9,49
8,0.089868784,0.453734577,0.049265705,0.000475050969,0.273745596,0.000185556288,0.100441217,-6.1668539,0.000295197795,12,51
9,0.102771647,0.549714208,0.0788315386,0.00181230227,0.299883634,0.00179377454,0.0970947966,-5.57960081,0.000119277836,10,49
10,0.145241991,0.688607812,0.0874770656,0.00226240559,0.208563998,0.00141528097,0.0881390348,-5.97356367,0.000295485865,8,34
11,0.0772907138,0.50602293,0.0866257846,0.0012010053,0.259037822,0.000889980409,0.0883065686,-5.54040527,0.000551860605,6,49
12,0.176386908,0.959759712,0.0999241024,0.00366821117,0.217793554,0.00227100286,0.108415328,-5.96264553,0.000277007377,1,27
13,0.141903773,0.478381246,0.0905533433,0.00189253362,0.400733858,0.00104958087,0.0936276093,-5.44406891,0.000235519881,9,47
14,0.118011095,0.558150947,0.0464070551,0.000763278804,0.257366002,0.000358179997,0.0744315311,-6.30208397,0.000393940456,8,34
15,0.13989614,0.475280195,0.0801609308,0.00241428521,0.173944205,0.00182943209,0.276551276,-3.70989442,0.00217351108,5,35
16,0.203702733,1.11674547,0.11958579,0.00450701173,0.292500257,0.00252972823,0.101534322,-5.8667202,0.000401668338,6,49
17,0.139514104,0.52995342,0.0998988599,0.00205255719,0.476829827,0.000876954698,0.0698411837,-5.74701881,0.000429744105,7,49
18,0.142708451,0.711290538,0.110749967,0.00277022971,0.403331041,0.00129581627,0.104444221,-5.82908964,0.000916741672,3,50
19,0.0878293589,0.790074825,0.0515028909,0.000514717191,0.21569331,0.000190073624,0.113370091,-5.68308592,0.000299595849,2,19
20,0.176796421,0.494831264,0.0735870153,0.00240338081,0.467900574,0.0014715431,0.0667440444,-6.22774792,0.00050860265,0,51
21,0.1736646,0.725482702,0.101484001,0.00316911936,0.304153413,0.00217221212,0.0921638757,-5.13391972,0.000193363681,4,50
22,0.195204586,0.788260698,0.0915060043,0.00275140256,0.258976758,0.00296850549,0.0483732522,-6.47112751,0.000108149528,4,51
23,0.101943329,0.690330505,0.0933849365,0.00252550351,0.525541425,0.0014904046,0.0934857205,-5.78339911,0.000364485255,3,51
24,0.16232419,0.854266286,0.118418179,0.00240883464,0.346605003,0.00133572798,0.111524343,-6.08937788,0.000229357131,13,43
25,0.0992861018,0.542616487,0.0917709023,0.00122937071,0.535181165,0.00067811826,0.129897103,-4.53521967,0.000758399372,11,44
26,0.129637018,0.987546623,0.0974531695,0.00229221466,0.394413412,0.00108166295,0.145243049,-3.3545146,0.00286184368,1,48
27,0.166123256,0.835704565,0.0888258144,0.00251149805,0.194949225,0.0011993323,0.10050936,-5.01102829,0.000858447049,3,26
28,0.133386627,0.360091329,0.0699991733,0.00354394503,0.51059711,0.00193525921,0.0639751479,-6.40565729,0.000229818499,2,48
29,0.138174519,7.55644989,0.0764338374,0.00246295682,0.296667993,0.0013785488,0.0662895292,-6.03313112,0.00021960595,1,51
30,0.174109206,0.698457003,0.109691016,0.00288204802,0.218400031,0.00198811479,0.100805469,-5.66117859,0.000238812456,5,30
31,0.139978945,1.14171731,0.0821004137,0.00240741763,0.293696761,0.00140070613,0.0920067728,-6.02369213,0.000119225733,7,43
32,0.204427406,0.77067256,0.106893383,0.00475205015,0.188431084,0.00231000921,0.118210822,-5.60303116,0.000337193429,6,35
33,0.124693759,3.29597473,0.0814495683,0.00157783739,0.417812884,0.000971052796,0.0691761822,-6.3543067,0.000383104285,7,45
34,0.161996365,0.431955814,0.109936967,0.00218325295,0.353657871,0.000997476745,0.0965540782,-5.60414553,0.000628806709,6,46
35,0.160313949,1.01396871,0.123916835,0.00366130611,0.495514631,0.00237145182,0.0814501494,-5.83955956,0.000382737111,4,34
36,0.163893953,0.476749569,0.0955361947,0.00314090727,0.391569585,0.00233265338,0.109831348,-5.61558056,0.00025872371,10,49
37,0.116014227,0.528238893,0.0622087382,0.000836983498,0.423546463,0.000539533445,0.0517195091,-6.63526058,0.000329979666,2,51
38,0.117376909,0.415118456,0.0846633166,0.00187755504,0.270301938,0.00148145203,0.100280128,-5.39547205,9.912323e-05,8,33
39,0.176954463,0.431250632,0.12229953,0.00470703421,0.336377561,0.00194647757,0.141628757,-5.45265198,0.000275597849,4,19
40,0.16448158,0.597548127,0.11302451,0.00322374469,0.447841972,0.0016277812,0.0886395946,-6.07924223,0.000297233666,8,50
41,0.205395088,0.67207706,0.100502528,0.00429828046,0.347559988,0.00403004605,0.0754000992,-5.88370371,0.000214866421,7,33
42,0.133505359,1.10193598,0.0861573517,0.00224460172,0.20533666,0.00100140425,0.0802570805,-6.32702875,0.000130046261,8,33
43,0.140344739,0.326867402,0.106372222,0.00244579394,0.383056432,0.00134862773,0.0851598829,-5.88105392,0.000393638358,6,34
44,0.154782772,0.5535115,0.0988028049,0.00227523502,0.31665495,0.000993011054,0.103252701,-6.24912119,0.000262296497,4,36
45,0.138096184,0.641894579,0.0581382327,0.0012095595,0.441266388,0.000477119203,0.0915372744,-6.07238102,9.15066194e-05,4,33
46,0.165449977,0.920217156,0.120433345,0.00336854532,0.443995774,0.00193568692,0.108709745,-5.7245512,0.000317582657,5,51
47,0.129037052,0.597596288,0.0915465206,0.00121702126,0.391716182,0.000615187339,0.0632439032,-6.04768705,0.000268815231,9,35
48,0.187359437,0.89599061,0.116714284,0.00406660698,0.402242094,0.00204919931,0.0793229342,-5.23713398,0.000627022062,5,51
49,0.191881225,1.06329429,0.126196817,0.00573205296,0.414016306,0.00453410018,0.113322623,-4.91221762,0.000401499681,6,39
50,0.129659623,1.16392899,0.0574145243,0.00264583598,0.309671938,0.000891025818,0.0900928006,-6.36599684,0.000482219766,3,50
51,0.19762665,0.719294786,0.12754187,0.00675420463,0.469606817,0.00531131681,0.103985146,-6.17721033,0.000110995286,6,47
52,0.113282412,0.427475125,0.0604348071,0.00100634259,0.458070904,0.000531510683,0.0623088516,-6.20080614,0.000282708148,5,46
53,0.112246215,1.81025422,0.0825331733,0.00116986874,0.349650919,0.00120913039,0.100387201,-6.42563725,0.000236925684,9,43
54,0.088894777,1.32220674,0.0565896928,0.00113731273,0.303966701,0.000523145776,0.103895433,-6.16569901,0.000147748884,4,20
55,0.109894939,3.71649551,0.0825736448,0.00277870032,0.494617283,0.00128512993,0.0713247284,-6.36679554,0.000287199538,1,51
56,0.167662263,0.685841441,0.110757872,0.0034269793,0.204571754,0.00183863135,0.079934679,-5.71230698,0.000222726856,7,40
57,0.133191675,1.76207185,0.0963616371,0.00238026376,0.213776022,0.00176761241,0.101556294,-5.95323706,0.000146744293,3,23
58,0.197613522,1.00777709,0.0952253118,0.00302014686,0.440962374,0.00195013452,0.0571913421,-6.02398348,0.000299934967,3,51
59,0.189530253,0.668544829,0.112847134,0.00567042595,0.31647262,0.00260914443,0.0768055469,-6.09928799,0.000300344924,12,47
60,0.185428858,0.508439183,0.0958267003,0.00262932293,0.355252951,0.00157712994,0.065990828,-6.11540079,0.000348778995,10,47
61,0.122115955,0.740790963,0.107921138,0.0022891222,0.415932983,0.00104379095,0.0780884102,-5.53475761,0.000379487668,3,44
62,0.161895365,0.380457669,0.0712522641,0.00202131784,0.316988885,0.00103603012,0.0816596746,-6.03263521,0.00032158877,4,38
63,0.12636058,1.54133177,0.065348126,0.000988651766,0.447031826,0.000541589572,0.107813381,-5.56837893,0.000481884403,5,51
64,0.163645238,0.390780032,0.0950448364,0.00345353759,0.435423523,0.0017940033,0.134108827,-5.32537365,0.000512598781,4,13
65,0.20213671,0.579999328,0.0875820667,0.00423101289,0.399027795,0.00258039567,0.0984824151,-5.69629049,0.000236669905,10,49
66,0.189738378,1.44504476,0.0725647211,0.0031274124,0.319593817,0.00214673951,0.1156407,-6.07568645,0.000247704913,15,50
67,0.144871607,0.536825955,0.0870744586,0.00379022839,0.199566096,0.00158434617,0.099708654,-5.8691268,0.000414921116,7,50
68,0.144686982,0.815087318,0.0867844149,0.00152663374,0.470475912,0.000646438508,0.0758160129,-6.21612167,0.000711535977,8,40
69,0.184556812,0.629097462,0.108439848,0.00515722483,0.286298931,0.00325954333,0.104370341,-5.49092054,0.000144096237,7,43
70,0.179926962,0.491100013,0.105833977,0.00357055524,0.336652845,0.00254057278,0.0735916123,-6.02528048,0.000243561502,12,49
71,0.110274263,0.965437412,0.0379451066,0.00118520611,0.342780441,0.000793211046,0.159475118,-4.5842185,0.00126710976,5,46
72,0.124341719,0.97070843,0.105321094,0.00114561245,0.237346455,0.000554536469,0.0590683594,-6.43236113,0.000427440973,8,33
73,0.162429795,1.29324985,0.105066516,0.00332557037,0.381930411,0.00164585724,0.0758334771,-5.82088041,0.000258210435,3,39
74,0.168298364,0.66217351,0.0850716978,0.00276915403,0.390044332,0.0017659897,0.0972182229,-6.02985382,0.000199373317,3,34
75,0.131798223,0.648314118,0.109339923,0.00149756519,0.516508698,0.000643330044,0.0684121028,-6.11395454,0.000348381,5,46
76,0.153300539,0.767335534,0.101088218,0.00445504207,0.339739442,0.00284975581,0.11872863,-4.66998005,0.000596786093,8,45
77,0.177002579,0.677368701,0.101071388,0.00175458973,0.499026835,0.00118655083,0.0990725085,-5.43354034,0.000385537336,4,34
78,0.147062764,0.954613805,0.101268381,0.00270392885,0.226154566,0.00144749822,0.114221826,-6.00279045,0.000417947944,0,2
79,0.150959566,1.55057371,0.0903588831,0.00221963925,0.382590055,0.00136810122,0.0803674161,-6.21597099,0.000290249009,5,33
80,0.118181258,0.922011793,0.0736418664,0.000967302825,0.316954553,0.000578699226,0.0731024146,-6.02537537,0.000464889396,5,43
81,0.143074289,0.271738231,0.0625372827,0.00216682535,0.439553916,0.00201645494,0.0807045251,-6.00546455,0.000298050523,4,47
82,0.1490722,0.369897276,0.0977365747,0.00261997501,0.396732688,0.00117135316,0.0889455602,-6.40353775,0.000136288028,0,1
83,0.194335863,0.672244668,0.111571334,0.00810020976,0.471632183,0.00470222998,0.093960166,-5.98868084,0.00018459381,4,42
84,0.136387572,0.507567883,0.0648172721,0.00126698148,0.160635754,0.000645127671,0.111414723,-4.88852358,0.000498733716,3,32
85,0.143812373,0.46441707,0.077461496,0.00228578597,0.422371805,0.00105838769,0.0735306963,-5.89920521,0.00051237148,1,51
86,0.12726745,0.880486012,0.0912799165,0.00198189355,0.510714471,0.00136624044,0.08006607,-5.33490038,0.000466239086,2,51
87,0.139107898,0.540089309,0.0590543784,0.00214817049,0.289827466,0.00136560132,0.110411689,-6.14373779,0.000329066068,10,44
88,0.128692046,0.470275044,0.0839301348,0.00133537629,0.27506873,0.00080508081,0.102988072,-6.34299421,0.000148662351,3,28
89,0.229337364,1.04903388,0.106715202,0.00678149797,0.53329736,0.00369869545,0.0876783058,-6.01291656,0.000214542481,8,51
