sample_id,proxy_name,proxy_score
0,dinov2_isolation,0.471323341
1,dinov2_isolation,0.257593155
2,dinov2_isolation,0.301740259
3,dinov2_isolation,0.37192747
4,dinov2_isolation,0.304891109
5,dinov2_isolation,0.228522107
6,dinov2_isolation,0.356092244
7,dinov2_isolation,0.266430259
8,dinov2_isolation,0.273745596
9,dinov2_isolation,0.299883634
10,dinov2_isolation,0.208563998
11,dinov2_isolation,0.259037822
12,dinov2_isolation,0.217793554
13,dinov2_isolation,0.400733858
14,dinov2_isolation,0.257366002
15,dinov2_isolation,0.173944205
16,dinov2_isolation,0.292500257
17,dinov2_isolation,0.476829827
18,dinov2_isolation,0.403331041
19,dinov2_isolation,0.21569331
20,dinov2_isolation,0.467900574
21,dinov2_isolation,0.304153413
22,dinov2_isolation,0.258976758
23,dinov2_isolation,0.525541425
24,dinov2_isolation,0.346605003
25,dinov2_isolation,0.535181165
26,dinov2_isolation,0.394413412
27,dinov2_isolation,0.194949225
28,dinov2_isolation,0.51059711
29,dinov2_isolation,0.296667993
30,dinov2_isolation,0.218400031
31,dinov2_isolation,0.293696761
32,dinov2_isolation,0.188431084
33,dinov2_isolation,0.417812884
34,dinov2_isolation,0.353657871
35,dinov2_isolation,0.495514631
36,dinov2_isolation,0.391569585
37,dinov2_isolation,0.423546463
38,dinov2_isolation,0.270301938
39,dinov2_isolation,0.336377561
40,dinov2_isolation,0.447841972
41,dinov2_isolation,0.347559988
42,dinov2_isolation,0.20533666
43,dinov2_isolation,0.383056432
44,dinov2_isolation,0.31665495
45,dinov2_isolation,0.441266388
46,dinov2_isolation,0.443995774
47,dinov2_isolation,0.391716182
48,dinov2_isolation,0.402242094
49,dinov2_isolation,0.414016306
50,dinov2_isolation,0.309671938
51,dinov2_isolation,0.469606817
52,dinov2_isolation,0.458070904
53,dinov2_isolation,0.349650919
54,dinov2_isolation,0.303966701
55,dinov2_isolation,0.494617283
56,dinov2_isolation,0.204571754
57,dinov2_isolation,0.213776022
58,dinov2_isolation,0.440962374
59,dinov2_isolation,0.31647262
60,dinov2_isolation,0.355252951
61,dinov2_isolation,0.415932983
62,dinov2_isolation,0.316988885
63,dinov2_isolation,0.447031826
64,dinov2_isolation,0.435423523
65,dinov2_isolation,0.399027795
66,dinov2_isolation,0.319593817
67,dinov2_isolation,0.199566096
68,dinov2_isolation,0.470475912
69,dinov2_isolation,0.286298931
70,dinov2_isolation,0.336652845
71,dinov2_isolation,0.342780441
72,dinov2_isolation,0.237346455
