sample_id,proxy_name,proxy_score
0,ddim_reconstruction,0.175361499
1,ddim_reconstruction,0.0924285501
2,ddim_reconstruction,0.121180974
3,ddim_reconstruction,0.150914431
4,ddim_reconstruction,0.164285228
5,ddim_reconstruction,0.195025355
6,ddim_reconstruction,0.191566169
7,ddim_reconstruction,0.0629919767
8,ddim_reconstruction,0.089868784
9,ddim_reconstruction,0.102771647
10,ddim_reconstruction,0.145241991
11,ddim_reconstruction,0.0772907138
12,ddim_reconstruction,0.176386908
13,ddim_reconstruction,0.141903773
14,ddim_reconstruction,0.118011095
15,ddim_reconstruction,0.13989614
16,ddim_reconstruction,0.203702733
17,ddim_reconstruction,0.139514104
18,ddim_reconstruction,0.142708451
19,ddim_reconstruction,0.0878293589
20,ddim_reconstruction,0.176796421
21,ddim_reconstruction,0.1736646
22,ddim_reconstruction,0.195204586
23,ddim_reconstruction,0.101943329
24,ddim_reconstruction,0.16232419
25,ddim_reconstruction,0.0992861018
26,ddim_reconstruction,0.129637018
27,ddim_reconstruction,0.166123256
28,ddim_reconstruction,0.133386627
29,ddim_reconstruction,0.138174519
30,ddim_reconstruction,0.174109206
31,ddim_reconstruction,0.139978945
32,ddim_reconstruction,0.204427406
33,ddim_reconstruction,0.124693759
34,ddim_reconstruction,0.161996365
35,ddim_reconstruction,0.160313949
36,ddim_reconstruction,0.163893953
37,ddim_reconstruction,0.116014227
38,ddim_reconstruction,0.117376909
39,ddim_reconstruction,0.176954463
40,ddim_reconstruction,0.16448158
41,ddim_reconstruction,0.205395088
42,ddim_reconstruction,0.133505359
43,ddim_reconstruction,0.140344739
44,ddim_reconstruction,0.154782772
45,ddim_reconstruction,0.138096184
46,ddim_reconstruction,0.165449977
47,ddim_reconstruction,0.129037052
48,ddim_reconstruction,0.187359437
49,ddim_reconstruction,0.191881225
50,ddim_reconstruction,0.129659623
51,ddim_reconstruction,0.19762665
52,ddim_reconstruction,0.113282412
53,ddim_reconstruction,0.112246215
54,ddim_reconstruction,0.088894777
55,ddim_reconstruction,0.109894939
56,ddim_reconstruction,0.167662263
57,ddim_reconstruction,0.133191675
58,ddim_reconstruction,0.197613522
59,ddim_reconstruction,0.189530253
60,ddim_reconstruction,0.185428858
61,ddim_reconstruction,0.122115955
62,ddim_reconstruction,0.161895365
63,ddim_reconstruction,0.12636058
64,ddim_reconstruction,0.163645238
65,ddim_reconstruction,0.20213671
66,ddim_reconstruction,0.189738378
67,ddim_reconstruction,0.144871607
68,ddim_reconstruction,0.144686982
69,ddim_reconstruction,0.184556812
70,ddim_reconstruction,0.179926962
71,ddim_reconstruction,0.110274263
72,ddim_reconstruction,0.124341719
73,ddim_reconstruction,0.162429795
74,ddim_reconstruction,0.168298364
75,ddim_reconstruction,0.131798223
76,ddim_reconstruction,0.153300539
77,ddim_reconstruction,0.177002579
78,ddim_reconstruction,0.147062764
79,ddim_reconstruction,0.150959566
80,ddim_reconstruction,0.118181258
81,ddim_reconstruction,0.143074289
82,ddim_reconstruction,0.1490722
83,ddim_reconstruction,0.194335863
84,ddim_reconstruction,0.136387572
85,ddim_reconstruction,0.143812373
86,ddim_reconstruction,0.12726745
87,ddim_reconstruction,0.139107898
88,ddim_reconstruction,0.128692046
89,ddim_reconstruction,0.229337364
90,ddim_reconstruction,0.156361029
91,ddim_reconstruction,0.156543449
92,ddim_reconstruction,0.129798844
93,ddim_reconstruction,0.119985387
94,ddim_reconstruction,0.101358868
95,ddim_reconstruction,0.218493119
96,ddim_reconstruction,0.191026956
97,ddim_reconstruction,0.0558892079
98,ddim_reconstruction,0.140433192
99,ddim_reconstruction,0.189840168
100,ddim_reconstruction,0.139810577
101,ddim_reconstruction,0.154683426
102,ddim_reconstruction,0.134667024
